Category Name,delay_flag
Accessories,59.16
As Seen on  TV!,58.82
Baby ,54.59
Baseball & Softball,56.49
Basketball,59.7
Books ,57.53
Boxing & MMA,59.34
CDs ,54.24
Cameras ,61.99
Camping & Hiking,56.9
Cardio Equipment,56.94
Children's Clothing,56.6
Cleats,57.33
Computers,52.71
Consumer Electronics,59.16
Crafts,59.5
DVDs,56.31
Electronics,58.52
Fishing,57.32
Fitness Accessories,59.55
Garden,57.02
Girls' Apparel,58.62
Golf Apparel,53.29
Golf Bags & Carts,68.85
Golf Balls,57.42
Golf Gloves,58.41
Golf Shoes,57.82
Health and Beauty,58.56
Hockey,55.7
Hunting & Shooting,58.41
Indoor/Outdoor Games,57.22
Kids' Golf Clubs,58.33
Lacrosse,62.1
Men's Clothing,56.73
Men's Footwear,56.93
Men's Golf Clubs,49.82
Music,59.45
Pet Supplies,61.38
Shop By Sport,57.61
Soccer,55.8
Sporting Goods,59.94
Strength Training,59.46
Tennis & Racquet,57.93
Toys,58.41
Trade-In,58.42
Video Games,56.32
Water Sports,57.21
Women's Apparel,57.13
Women's Clothing,58.62
Women's Golf Clubs,56.91
